section_count_before,section_count_after,angle_max,section_max1_value,section_max2_value,section_max3_value,section_max4_value,section_max5_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
45,12,66.63928264257024,744.4897581565511,47.0,33.06055050963308,23.08679276123039,15.132745950421556,77.83610091360822,11.582762530298218,23.358035420526562,1894.5294,39.75570000000005,157.87744999999998,1.0
51,3,31.065505046980462,777.3969385069638,4.47213595499958,2.23606797749979,0.0,0.0,261.3683808131544,4.47213595499958,2.6387405850033834,572.2206000000001,147.10629999999992,190.74020000000004,1.0
63,15,122.44663344986941,662.9215639877767,93.62157870918435,62.26556030423239,35.608987629529715,34.539832078341085,66.62077624897282,12.041594578792296,79.59957605157024,1436.4190999999996,39.634500000000116,95.7612733333333,1.0
53,22,89.42896462688523,115.43396380615195,109.88175462741756,83.6301381082203,68.35202996254024,66.007575322837,32.02465919589733,13.527547277904578,104.49644831518913,1235.4935999999998,32.852600000000166,56.15879999999999,1.0
98,30,64.06919353734814,337.0,264.6828290615015,191.88017094009479,77.92945527847606,39.92492955535426,43.85949900690034,12.985393692794212,78.61707445104261,2491.5949999999993,28.395350000000235,83.05316666666664,1.0
81,11,101.30993247402021,457.0525133942488,320.4122344730301,150.0,142.01408380861386,139.26952286842948,130.36946840817814,74.00675644831355,235.29766411132988,2184.2559,35.32760000000053,198.56871818181818,1.0
44,5,20.472279519741925,457.0601710934787,53.0,24.041630560342615,22.20360331117452,21.633307652783937,115.58774252355597,24.041630560342615,14.104845626615825,633.5838000000003,77.04900000000089,126.71676000000006,1.0
35,3,9.462322208025613,384.02083276822367,89.0,12.165525060596439,0.0,0.0,161.72878594294005,89.0,2.917908924253815,486.5046999999995,100.46029999999882,162.16823333333318,1.0
56,11,23.42392134144188,298.2633064927699,269.08177195789386,60.90155991434045,48.46648326421054,32.802438933713454,75.73537793447234,31.906112267087632,60.81200063402557,729.2950999999994,51.95650000000023,66.29955454545448,1.0
90,27,60.94539590092286,332.20024081869656,183.22117781522965,91.98369420718001,74.2024258363566,73.37574531137656,43.73214534352043,13.038404810405298,153.63778255676033,971.5121999999992,23.329200000000128,35.9819333333333,1.0
49,14,62.85031830221684,370.06080581439585,56.71860364994893,45.39823785126467,21.02379604162864,20.615528128088304,44.180544237692665,11.20087712549569,24.737041889769177,2264.3451000000023,59.61755000000085,161.73893571428587,1.0
9,4,24.227745317954156,55.758407437802596,21.2602916254693,10.816653826391969,6.082762530298219,0.0,23.479528854990523,16.038472725930635,5.094333137783679,346.07930000000124,82.9937000000009,86.51982500000031,1.0
70,11,37.504142360270144,1191.0419807882508,62.20128616033595,61.741396161732524,47.29693436154187,25.45584412271571,132.22707681227413,23.345235059857504,59.86066471569496,2054.8624999999993,67.5702999999994,186.80568181818174,1.0
