section_count_before,section_count_after,angle_max,section_max1_value,section_max2_value,section_max3_value,section_max4_value,section_max5_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
27,12,135.0,64.00781202322104,59.682493245507096,44.598206241955516,42.80186911806539,41.43669871020132,29.638757366936375,21.759372672192107,18.492694651826305,3204.5203,32.08355000000006,267.04335833333334,0
83,16,112.1936938333151,383.4188310451118,281.966310044303,122.57650672131263,120.0,79.93122043357026,83.97601784632144,42.72580133679325,181.28952842351066,1242.5354999999995,42.50540000000001,77.65846874999997,0
15,8,15.989639737312572,45.48626166217664,34.88552708502482,22.47220505424423,20.615528128088304,12.206555615733702,20.52222813392975,16.411041871911003,13.893022940835225,317.1089000000002,35.502300000000105,39.63861250000002,0
150,40,141.65920726613678,226.00884938426637,215.14878572745886,183.06829326784035,110.30865786510141,110.16351483136329,48.22778991652988,23.450683095872897,226.1209302046084,5303.9561,42.51140000000032,132.5989025,0
90,17,95.99015246047408,264.15336454416024,213.39634486091836,130.0,125.00399993600205,109.48972554536796,71.59200027675587,52.03844732503075,36.4346231028063,2032.4858000000004,37.99229999999989,119.55798823529415,0
18,7,19.44003482817619,53.36665625650534,36.013886210738214,35.11409973215888,35.014282800023196,15.811388300841896,28.019566732379925,35.014282800023196,13.697222980057225,555.9595000000008,56.009799999999814,79.42278571428584,0
16,6,12.455363391725854,48.41487374764082,45.044422518220834,37.36308338453881,36.235341863986875,10.04987562112089,30.819641135235816,36.79921262426284,15.495822070085294,1425.4442999999992,43.76770000000033,237.57404999999986,0
50,9,91.54815769897796,291.3863414781139,147.03060905811415,56.92099788303083,34.785054261852174,33.1058907144937,68.38913883196493,33.1058907144937,20.48999210959304,3439.9297000000006,66.99699999999939,382.2144111111112,0
48,20,177.3974377975002,100.2845950283492,68.11754546370561,62.03224967708329,36.61966684720111,35.805027579936315,26.935217232512393,20.95220452972487,95.64904751259081,2452.017600000003,41.91964999999982,122.60088000000015,0
115,27,167.28066893786678,198.0,173.93389548906217,150.37286989347513,141.01418368376991,125.01599897613104,55.22044069314211,24.413111231467404,32.72099560417432,3550.532500000001,48.002699999997276,131.50120370370374,0
72,15,48.65222278030633,284.5856637288674,135.38463723776047,107.89810007595129,90.95603333479313,69.6419413859206,60.13387914394907,31.04834939252005,46.90136495689883,2977.4524999999994,99.9976999999999,198.49683333333329,0
119,28,119.23198984660944,756.9848083019897,323.00154798390673,174.40183485273312,110.67971810589327,108.2081327812286,68.34108847084819,21.71270447684202,235.46445396621564,4611.117200000001,75.75304999999935,164.68275714285716,0
68,7,16.910326049510143,338.2499076126999,266.82765973564284,213.92522057952868,29.017236257093817,25.553864678361276,129.29775081016487,29.017236257093817,43.51290732939508,2028.3358000000007,108.51320000000123,289.76225714285727,0
54,16,60.18845697686793,139.08630414242805,127.45587471748802,83.6301381082203,74.02702209328699,51.62363799656123,41.87524000006515,23.187855292892515,22.461126179664124,2364.4684999999954,46.05430000000342,147.7792812499997,0
7,5,37.8749836510982,21.95449840010015,21.18962010041709,13.0,11.40175425099138,5.0,14.509174550301722,13.0,1.9576948993568004,9807.645100000002,39.99979999999778,1961.5290200000004,0
61,17,171.42228347498346,276.26798583983634,99.6393496566492,84.38601779915912,71.00704190430693,70.83784299369935,50.24893570973113,22.825424421026653,27.671005883659145,9471.871399999996,40.9997000000003,557.1689058823528,0
133,38,116.56505117707799,979.4253417182955,284.3184833949422,167.6722994414999,97.29337079164233,86.82165628459296,53.65304904623927,10.908326913195985,163.50469782022634,10560.731799999994,56.377049999995506,277.91399473684197,0
101,34,147.7662911083599,203.1058837158589,166.93112352104984,138.0,101.01980003939822,70.32780389006896,39.878214822743466,22.357354560147318,238.52933874045365,11815.208199999994,20.180399999997462,347.5061235294116,0
5,2,9.782407031807285,29.427877939124322,22.0,0.0,0.0,0.0,25.71393896956216,25.71393896956216,1.0879213779497818,1135.046000000002,567.523000000001,567.523000000001,0
85,17,56.309932474020215,449.4374261229254,143.58621103713267,114.54256850621083,80.77747210701756,76.48529270389177,64.95227404739313,22.80350850198276,181.53209574838442,4044.9726999999984,56.73630000000412,237.9395705882352,0
83,27,38.34791269847426,167.0269439342048,130.98091464026353,93.0,79.90619500389191,55.731499172371095,36.395683823935215,22.135943621178654,108.66986416915563,5190.9974000000075,59.67829999999958,192.25916296296325,0
167,49,120.88107869694362,395.4566980087706,191.06543381784158,146.98639392814562,105.55093557141026,97.082439194738,44.93071954957868,22.02271554554524,76.78879578238538,13859.753100000002,36.00810000000638,282.85210408163266,0
69,21,42.8524145717015,132.09466302617983,116.81181447096864,87.86353054595519,83.60023923410746,79.37883848986453,38.202348791628076,13.45362404707371,38.07216235845726,4385.812399999981,103.70980000001146,208.8482095238086,0
2,2,38.65980825409009,7.0,6.4031242374328485,0.0,0.0,0.0,6.701562118716424,6.701562118716424,2.2135943621178655,6835.733800000016,3417.866900000008,3417.866900000008,0
93,19,55.23480276342322,288.3123306416151,192.35384061671346,126.05157674539419,82.20097323024831,77.10382610480494,63.126602300024054,40.24922359499622,100.33448055459455,2996.1780000000144,36.3238999999885,157.6935789473692,0
107,20,33.6900675259798,611.2348157623222,145.43727170158274,138.4629914453678,134.6291201783626,97.0051545022222,78.74764142346712,22.469726061580708,71.15303450550307,1669.3666000000085,42.00209999999788,83.46833000000042,0
126,22,65.51331906828398,593.6505706221463,340.3762623920769,192.78226059469267,159.1257364476281,135.02962637880623,77.09707396502189,12.205455727822638,59.15080831902351,5668.274700000009,82.29145000000426,257.64885000000044,0
107,29,167.52218229178618,164.62381358722072,155.58920271021378,131.70041761513136,130.0,121.45781160551181,47.6133187963813,22.847319317591726,28.662990245454758,13230.80899999998,60.00219999998808,456.23479310344754,0
108,23,57.79729980136009,200.30227157973022,200.0099997500125,198.4363877921587,133.3604139165742,129.29423807734048,65.81461498864583,33.015148038438355,182.21475956290493,31614.734299999982,45.581199999985984,1374.5536652173905,0
131,28,174.49263797024716,303.9161068452937,275.3942628305826,226.947130407062,126.64912159190051,118.84864324004712,64.60052927374667,28.04530407597821,71.26268861325772,1437.4745000000112,34.50035000000207,51.3383750000004,0
14,5,33.6900675259798,72.20110802473879,46.69047011971501,20.518284528683193,10.816653826391969,6.0,31.24530329990579,20.518284528683193,4.423322374415067,381.6077000000223,67.99420000001555,76.32154000000446,0
44,12,52.81529354676688,146.24978632463024,89.1403387922662,80.99382692526635,66.12866246946176,59.90826320300064,45.385529581687656,32.314895063890624,124.28293121065023,4637.879799999995,110.00095000000147,386.48998333333293,0
14,3,26.56505117707799,112.44998888394787,33.0,2.23606797749979,0.0,0.0,49.22868562048256,33.0,1.9007270422959692,622.0914000000048,203.13019999998505,207.3638000000016,0
89,23,49.38134124414828,771.014915549628,256.4566240127168,133.70115930686615,101.00495037373169,79.02531240052139,78.21634701029124,23.259406699226016,83.50803421494875,5353.935399999988,44.99530000000959,232.77979999999945,0
102,24,90.0,350.2013706426632,172.20046457544765,149.40214188558343,143.7358688706476,143.02796929272262,59.2186537238102,15.840770846134703,30.582206991754717,11278.421499999997,35.99769999999262,469.9342291666665,0
84,12,79.01134890350603,412.8159396147392,254.13579047430528,192.84449693989197,79.30952023559341,25.0,87.24539999264533,18.11388453007527,11.771920366974085,22198.362699999998,270.25364999999874,1849.8635583333332,0
100,22,32.655159555761514,496.2307930791881,340.2116987994387,187.7578227398262,118.9663818059539,90.95603333479313,75.57102445760215,26.77724440057255,174.84538917914514,2316.430299999978,35.78364999999758,105.29228636363537,0
98,20,42.51044707800085,863.2873218112264,243.82370680473218,201.71762441591463,76.40026177965623,63.50590523722971,83.83702002728066,14.244880870813219,39.702349630474316,1579.3059000000067,41.51204999999027,78.96529500000034,0
10,8,41.185925165709655,33.94112549695428,11.40175425099138,11.40175425099138,10.63014581273465,10.295630140987,12.181415183485532,10.462887976860825,3.2786798778992963,346.3838000000105,41.89500000001863,43.297975000001315,0
22,13,41.05481377096244,45.60701700396552,32.2490309931942,30.4138126514911,23.40939982143925,22.47220505424423,18.464523829792125,11.40175425099138,26.939178351738718,4613.02350000001,55.98029999999562,354.8479615384623,0
15,1,0.0,190.09471323527123,0.0,0.0,0.0,0.0,190.09471323527123,190.09471323527123,0.6102221257275697,402.83090000000084,402.83090000000084,402.83090000000084,0
113,39,98.82037955202107,276.56825558982723,217.68095920406083,118.20744477400736,92.64987857520376,85.05292469985967,41.40352562571654,15.231546211727817,59.278761118284876,4176.155199999979,30.99960000003921,107.08090256410203,0
2,2,26.56505117707799,3.0,2.23606797749979,0.0,0.0,0.0,2.618033988749895,2.618033988749895,0.5883484054145521,260.69450000004144,130.34725000002072,130.34725000002072,0
