section_count_before,section_count_after,angle_max,section_max_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
83,22,51.23518928949481,386.9638225984439,55.75890458445439,23.426860441876563,150.34947105265485,4224.3943,53.036749999999756,192.01792272727272,1
21,6,179.61803379527132,150.00333329629711,40.759512485150736,20.67975775818507,20.63857907211441,1662.6257000000005,252.8483500000002,277.1042833333334,1
22,11,63.43494882292201,50.53711507397311,22.67407009828283,22.0,29.60726851871546,2127.596599999999,47.996799999998984,193.41787272727262,1
36,10,52.125016348901795,229.19205919926634,50.4474880121131,26.0,23.09932366285904,1563.2125000000015,40.035650000000714,156.32125000000013,1
14,8,92.40021446085665,66.64833081180653,20.307783850166665,10.931007421789616,23.988108018098867,4040.5903000000017,130.2831500000002,505.0737875000002,1
52,12,24.443954780416547,139.08630414242805,54.38020016301308,29.108744760956366,25.054916541562093,1201.6913999999997,45.991799999999785,100.14094999999998,1
40,4,8.248511649763644,226.86119103980744,134.1245418355887,147.3184881512737,11.629069313722926,320.0005000000019,92.00064999999995,80.00012500000048,1
11,7,136.39718102729637,46.87216658103186,17.814961218495935,10.816653826391969,5.94530130488584,1737.2101000000039,28.001799999998184,248.172871428572,1
36,2,15.068652657419367,470.1595473879053,248.83659018615026,248.83659018615026,8.534011110279774,548.1835999999967,274.09179999999833,274.09179999999833,1
33,7,11.935602543267457,195.6041921841145,60.39426823236017,12.041594578792296,8.703078825838418,248.00560000000405,28.00510000000213,35.429371428572004,1
48,5,24.527720480258086,439.3688655332783,119.00182761836454,62.80127387243033,11.728435516057033,739.6215999999986,144.00010000000475,147.9243199999997,1
21,9,75.11373315098244,72.40165743959182,25.41065246736566,21.18962010041709,31.840216319631033,3613.6391000000003,51.9716000000044,401.5154555555556,1
27,12,90.0,139.97856978837868,26.14250003230576,11.40175425099138,8.015357109244972,1386.2769000000044,26.00274999999965,115.52307500000036,1
41,11,39.61068824002658,267.0880004792428,44.300066639562374,21.470910553583888,19.047828060009913,1503.538299999993,48.02880000000005,136.68529999999936,1
61,16,32.62486857726341,185.16209115258988,47.953018056290304,28.397663063700236,49.76322029637412,1577.3781000000017,66.50355000000127,98.58613125000011,1
68,18,27.89727103094763,185.930094390338,49.92286557030982,27.04163456597992,12.58611526556833,1989.8671999999933,41.049550000003364,110.54817777777741,1
61,9,29.74488129694221,573.4003836761883,97.27319326447122,22.360679774997898,45.80897847158144,8205.387799999997,72.00770000000193,911.7097555555551,1
65,12,84.89783474764182,398.0452235613436,74.26294821992761,15.06225774829855,37.4791633105461,767.7272000000085,59.99409999999625,63.97726666666737,1
72,16,60.94539590092286,889.020247238498,88.15328341522252,11.87314724475596,77.90244181461156,660.781999999992,35.10074999999779,41.2988749999995,1
42,15,136.17945236184772,194.164878389476,33.933741543949274,15.0,49.12006479235744,1543.7084000000032,35.99889999999141,102.91389333333355,1
15,9,129.14398641457103,68.11754546370561,18.373364898592502,11.180339887498949,10.760053719216085,4788.888400000011,65.99989999999525,532.0987111111123,1
67,8,45.0,604.1622298687663,113.38502776512055,10.793491720330488,37.36856386257446,658.8303000000014,70.51584999999614,82.35378750000018,1
