section_count_before,section_count_after,angle_max,section_max1,section_max2,section_max3,section_max4,section_max5,section_median,section_average,square,time,time_max1,time_max2,time_max3,time_max4,time_max5,time_median,time_average,condition
64,29,94.27849695333501,242.26638231500465,72.00694410957877,51.894122981316485,44.654227123532216,43.86342439892262,23.0,30.784024390745813,76.30543260859523,3625.5837,2368.2367,319.9357,191.96990000000005,80.0027,76.72690000000011,24.57230000000027,125.0201275862069,0
115,26,87.29962127893234,304.86718419665965,132.00378782444085,129.38701635017324,126.90547663517127,109.00458705944443,58.39522913007008,67.28742984370272,82.65642730632486,2182.8154000000004,1200.9214999999995,159.01170000000002,106.98030000000017,59.035000000000764,56.03240000000005,35.49835000000007,83.95443846153847,0
54,5,13.04563706294857,678.0988128584211,161.37533888422976,16.1245154965971,10.44030650891055,3.0,16.1245154965971,173.8077947496317,2.7385697358101266,925.0443000000005,326.9241000000002,264.6118999999999,195.97610000000077,83.5069999999996,54.02520000000004,195.97610000000077,185.00886000000008,0
29,10,65.11963314081831,216.6217902243447,24.698178070456937,21.095023109728988,17.26267650163207,11.0,10.908326913195985,33.72304564699959,17.159112088470852,4606.506799999999,3299.661,415.3952999999983,304.6865999999991,292.71290000000045,167.04260000000068,103.53395,460.6506799999999,0
73,18,124.77783136636388,252.04959829366916,155.2610704587599,100.64790112068906,70.21395872616783,62.36184731067546,20.419638272122494,48.99910814608574,16.001492913705206,5615.950099999998,2030.957199999999,1124.2115999999987,883.7336000000014,380.59140000000116,305.9928,108.01159999999982,311.99722777777765,0
42,9,12.241156748408768,186.69761648183942,112.32987136109433,70.3846574190711,54.589376255824725,53.0,53.0,60.09507076446697,30.521243264537272,570.4791000000005,219.1836000000003,108.0015999999996,71.99820000000182,51.99949999999808,48.33110000000306,48.33110000000306,63.38656666666672,0
104,26,25.292021157021278,219.02054698132775,204.35508312738395,151.21177202850313,122.8087944733601,99.84988733093293,26.17261752992875,51.77745184722562,131.16180734027552,2135.3786,460.20310000000245,269.67009999999937,254.73829999999725,248.6212000000014,132.78420000000187,26.474850000000515,82.12994615384615,0
121,29,103.69587650440903,266.33249895572266,235.96821819897696,131.64345787011217,130.09611831257686,128.73616430514,21.213203435596427,53.13296607271045,62.659942474394434,3351.3567999999977,700.2988000000005,441.04609999999957,388.1368000000002,251.03139999999985,206.9974000000002,64.0,115.56402758620682,0
106,26,51.499346279654574,133.13526955694348,128.84486796143648,125.09996003196804,117.66052864066182,113.85077953180645,24.4779094076669,50.673593111471774,227.18445946344087,16444.942000000003,11831.303500000002,1472.8421999999991,1232.5545999999995,379.71160000000236,177.1215000000011,65.64609999999993,632.4977692307693,0
93,16,147.82609555881044,381.6018867877883,367.5445551222328,124.96399481450646,111.21151019566275,88.72992730753249,23.67905681033883,81.6822216584513,89.86439905204152,2182.2708000000057,1069.0108000000037,449.84679999999935,99.99919999999838,79.988400000002,72.00149999999849,52.095649999999296,136.39192500000036,0
79,10,47.41950921665634,339.2418016695466,262.36043909095747,202.06187171260194,73.40980860893181,68.87670143089025,63.339042748681976,108.96936722916521,101.56952743167838,1648.216499999995,595.1143000000011,341.4259999999995,254.0023000000001,143.53749999999854,88.49429999999847,82.43749999999636,164.8216499999995,0
92,28,152.13299615034313,220.6581065811995,118.22436297142819,88.54377448471462,88.09086218218096,76.10519036176179,12.989862426483477,41.01055971818555,37.80794797952361,8488.277399999999,3676.071499999998,1156.6839000000036,639.1536000000051,456.73229999999603,328.4334000000017,84.94014999999854,303.1527642857142,0
55,15,68.19859051364818,301.14448359549937,131.03434664239754,47.70744176750625,46.66904755831214,46.61544808322666,12.041594578792296,45.221112509921916,32.64792310281557,15068.94049999999,14203.808199999992,165.8585999999923,139.35669999998936,104.02590000000782,84.00340000000142,56.10470000001078,1004.5960333333327,0
142,38,90.35586983062188,213.7755832643195,190.59118552545917,131.00381673829202,111.83022847155415,110.0,23.695462737816385,47.930802213393875,302.06265003355435,15423.85059999999,11027.125199999995,2132.2335999999923,264.62889999999607,263.520199999999,168.0444000000134,49.90424999999959,405.89080526315763,0
71,28,126.68235075589361,118.03812943282352,85.0,69.26037828369117,62.76941930590086,55.31726674375732,20.35763968516504,31.433676390059468,103.66462222053474,1874.4906000000046,352.00710000000254,256.0130999999965,154.16240000000107,127.28599999999278,108.02109999999811,36.00600000000122,66.94609285714303,0
23,13,55.65063154607625,92.34717104492157,42.638011210655684,28.178005607210743,12.165525060596439,11.704699910719626,11.180339887498949,20.072532279195546,56.71496624891656,1331.3448999999964,463.62729999999283,265.0025000000023,171.98579999999492,71.36030000000028,56.33200000000943,50.997099999993225,102.41114615384588,0
57,16,48.81407483429036,482.35775105205886,59.413803110051795,39.05124837953327,36.89173349139343,31.89043743820395,14.083055037694697,50.09447282790698,36.37767654315943,1168.05799999999,172.71510000000126,160.00179999999818,155.0000999999902,148.00010000000475,127.98739999999816,61.9858999999924,73.00362499999937,0
132,45,151.32462332180305,271.1401851441427,257.73047937719747,217.83020910791964,92.41753080449618,89.44271909999159,15.033296378372908,39.73141040658812,252.07638102312637,11126.103000000003,8384.81199999999,676.0507999999973,336.42110000000685,199.69520000000193,177.9991000000009,20.004100000005565,247.2467333333334,0
37,8,124.14358665193775,147.87156589419075,143.0034964607509,81.02468759581859,73.35529974037323,66.06814663663572,69.71172318850446,68.45532781379809,41.915938852879755,16941.002700000012,15948.845400000006,507.1383999999962,136.0005999999994,104.0179000000062,77.00430000000051,90.51110000000335,2117.6253375000015,0
93,28,50.38931175997341,208.08171471804053,180.23595645708434,149.9399879951976,64.4980619863884,57.48912940721924,23.65990093428882,42.80935932030723,112.16086437561175,1904.3977000000014,396.2289000000019,168.95839999998861,119.70889999999781,116.99799999999232,109.13250000000698,45.96235000000161,68.01420357142862,0
25,15,180.0,113.1591799192624,22.0,13.0,11.40175425099138,10.816653826391969,10.295630140987,18.230427552280684,24.45843116482337,33919.49489999999,16950.278099999996,11880.93299999999,2768.199900000007,784.0858000000007,344.6221000000078,212.0854999999865,2261.299659999999,0
12,3,68.46921633956148,106.92053123698928,11.180339887498949,10.295630140987,0.0,0.0,11.180339887498949,42.798833755158405,5.908050106981869,26981.40479999999,10578.096300000005,9682.614099999977,6720.694400000008,0.0,0.0,9682.614099999977,8993.801599999997,0
85,45,155.5560452195835,123.35720489699821,84.38009243891595,56.22277118748239,56.142675390472796,49.24428900898052,11.40175425099138,21.59349908679815,172.71281105590208,11733.471300000005,5516.132199999993,2704.989600000001,720.0203000000038,328.56700000001,307.51170000000275,43.0054999999993,260.7438066666668,0
4,4,18.434948822922017,11.180339887498949,10.816653826391969,4.47213595499958,1.4142135623730951,0.0,7.644394890695774,6.970835807815898,0.33591401701605744,300.01780000000144,208.02030000000377,48.00099999998929,30.99890000000596,12.997600000002421,0.0,39.499949999997625,75.00445000000036,0
72,26,149.1189213030564,172.00290695217916,169.29264603047588,113.46365056704283,36.40054944640259,34.17601498127012,17.01189802081432,33.92782739790205,65.04375998390145,30893.353399999993,11907.92379999999,10108.500700000004,5339.992499999993,2166.6964000000153,241.17939999999362,50.20810000000347,1188.2058999999997,0
103,31,90.0,467.42806933259794,266.1766330841233,223.48601745970598,109.89540481748998,77.62087348130012,20.396078054371138,53.506778822760836,391.2675876832855,12534.56289999999,5559.833500000008,4672.651599999983,1023.4066000000166,163.98869999998715,133.18820000003325,24.002300000021933,404.3407387096771,0
108,22,150.12400730831058,298.88626599427414,192.93781381574738,173.34935823359717,135.15176654413364,103.24727599312246,37.51813172287104,66.15291045527762,196.47341836924244,32312.613899999997,25164.584399999992,4883.171900000016,563.5511999999871,299.7065999999759,252.4678000000422,77.94060000000172,1468.7551772727272,0
32,11,129.61068824002658,129.24782396620841,117.0341830406826,48.08326112068523,23.769728648009426,10.816653826391969,10.63014581273465,34.017821437316094,6.533344733361863,27166.020900000003,24256.096099999966,1576.568900000013,678.3383000000031,204.02120000001742,92.02610000001732,91.99800000002142,2469.6382636363637,0
61,17,28.30075576600639,244.10653411983876,104.67568963231147,88.32326986700618,70.26378868236469,59.20304046246274,35.77708763999664,51.43082629548376,54.91699136203115,26899.46629999997,25950.886,288.0273000000161,123.99669999995967,84.60979999997653,63.5908000000054,44.00200000003679,1582.3215470588218,0
4,3,17.599251177127623,19.4164878389476,10.04987562112089,5.385164807134504,0.0,0.0,10.04987562112089,11.617176089067664,2.440121282957097,611.5829000000376,243.6201000000001,203.99030000000494,163.9725000000326,0.0,0.0,203.99030000000494,203.86096666667922,0
85,22,132.6933609244846,252.43811122728675,121.67168939404104,116.27553482998907,109.17875251164945,92.57429448826494,29.118452016826552,49.421341604853225,167.6147071916604,2543.337200000009,1079.5148000000045,231.25720000005094,156.1648999999743,127.95449999999255,124.72449999995297,62.00385000000824,115.60623636363677,0
58,15,39.933415683770114,163.67040050051813,159.0,117.2006825918689,80.4114419718985,34.92849839314596,30.083217912982647,48.722398959923304,80.49254054504293,1110.6506999999983,219.9812999999849,143.97930000000633,118.9997999999905,91.98700000002282,88.02790000004461,59.633299999986775,74.04337999999989,0
67,11,52.31511445532084,486.00411520891464,215.6965461012299,62.16912416947821,61.68468205316454,36.22154055254967,13.892443989449804,83.44835445287173,9.72070672061154,2441.1571000000113,1427.301999999967,243.9020999999484,239.6539000000339,139.73050000000512,96.51459999999497,87.99600000004284,221.92337272727374,0
122,28,102.13132106663251,336.80409736225005,205.41908382621125,203.74493858744074,164.04877323527901,155.03870484495155,23.90175425099138,62.16653924780946,301.06259070671194,3294.041599999997,1200.217799999984,575.8759000000427,439.992499999993,134.2894999999553,92.01920000003884,37.56534999998985,117.64434285714275,0
2,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1922.1607000000076,1922.1607000000076,0.0,0.0,0.0,0.0,1922.1607000000076,1922.1607000000076,0
81,20,54.52466797179,456.50848842053307,191.9088325221119,100.12492197250393,55.54277630799526,54.67174773134658,24.85566625640722,58.91015346298606,12.83042433461334,2440.493599999987,815.3918000000413,424.7287999999826,392.14400000002934,160.01879999996163,100.27730000001611,39.766700000007404,122.02467999999935,0
33,7,56.309932474020215,364.2320688791694,36.345563690772494,21.587033144922902,10.295630140987,10.198039027185569,10.295630140987,64.90216987607567,17.357212327216345,2536.2464000000036,1671.5692000000272,260.5815999999759,208.1367999999784,148.484300000011,143.39019999996526,148.484300000011,362.3209142857148,0
65,14,34.1932008456587,367.3064115966396,273.00183149568795,46.87216658103186,31.76476034853718,24.186773244895647,22.791378605899816,62.3537567860685,38.680246689064994,1081.1308999999892,221.1243999999715,159.99890000000596,159.96750000002794,135.8523999999743,80.19209999998566,60.108450000028824,77.22363571428494,0
3,2,15.572543596810275,20.024984394500787,6.324555320336759,0.0,0.0,0.0,13.174769857418774,13.174769857418774,1.2226571518413922,1127.8070000000298,1027.765699999989,100.04130000004079,0.0,0.0,0.0,563.9035000000149,563.9035000000149,0
79,13,19.628438246904047,692.2340644608585,165.46903033498444,44.04543109109048,31.04834939252005,23.021728866442675,21.470910553583888,83.08945530352102,30.74996778491821,3645.934500000032,2692.5088000000105,255.54840000002878,134.55960000003688,103.99989999999525,80.97580000001471,68.3234999999986,280.45650000000245,0
43,6,27.758540601060016,248.91765706755317,194.61243536834948,78.43468620451031,31.906112267087632,21.470910553583888,55.170399235798975,97.89030024351409,14.505424842788194,1594.6033999999636,888.0119999999879,474.2070999999996,99.54180000000633,68.97479999996722,51.8691000000108,84.25829999998678,265.7672333333273,0
88,17,79.14358665193775,223.27113561766106,187.57931655702342,158.40454538932903,126.05157674539419,120.43255373859678,24.020824298928627,71.38101317016634,102.63795131239122,7887.203300000052,6712.069199999969,330.8728000000119,135.98849999997765,128.54309999995166,88.1710000000312,51.94099999999162,463.9531352941207,0
109,31,123.11134196037203,353.5788455210521,338.42281246984516,185.32404053441098,165.7015389186232,89.69392398596462,23.0,57.368766115661415,41.4095313812783,4206.772800000035,2816.655000000028,212.00280000001658,173.08870000002207,125.02449999999953,92.00520000001416,28.00030000001425,135.7023483870979,0
29,6,151.18412693402178,240.00208332429116,33.1058907144937,20.591260281974,11.313708498984761,10.63014581273465,15.95248439047938,53.294365709682644,12.40273068555654,3392.4683000000077,1657.088700000022,1244.0591000000131,147.15969999996014,144.1720000000205,118.99929999996675,145.66584999999031,565.4113833333346,0
38,10,82.37185033141931,192.3460423299632,159.47727110782904,57.584720195551874,15.811388300841896,15.297058540778355,14.148529270389178,49.73067361865754,26.63531900675024,662.329000000027,321.9177999999956,119.80440000002272,100.50840000004973,31.705900000000838,23.383700000005774,21.34549999999581,66.2329000000027,0
38,12,107.02052561151986,276.06520968785617,68.94200461257273,32.202484376209235,21.633307652783937,21.02379604162864,15.897934007793626,41.385412578544674,73.40341668792422,5623.739300000016,4404.499499999976,304.29999999998836,255.1484000000055,211.57930000004126,102.02550000004703,87.01400000002468,468.644941666668,0
67,17,102.3194452566366,416.3472108709268,104.9952379872535,60.53924347066124,43.01162633521314,34.92849839314596,21.2602916254693,49.33930796864643,62.885390182406205,2590.4484999999986,1239.1900000000023,440.4794000000111,147.87699999997858,134.90000000002328,107.999199999962,60.006200000003446,152.3793235294117,0
101,19,17.40270413135628,533.348853940833,321.70794208412076,183.48024416813925,116.77756633874505,104.06248123122954,22.135943621178654,82.88837643888213,138.62075330801238,2302.849199999997,952.7607999999891,248.2062000000151,180.79139999998733,146.99969999998575,139.98830000002636,67.90439999999944,121.20258947368404,0
93,19,51.499346279654574,272.2076413328619,205.03902067655318,144.08677940741129,120.3536455617361,103.81714694596457,24.515301344262525,63.11235593148508,38.240675709197504,1187.9354000000167,205.10409999999683,146.46730000001844,120.00979999999981,111.99689999996917,91.99790000001667,55.995799999975134,62.52291578947456,0
14,7,157.59016262850673,90.60905032059435,12.0,10.44030650891055,10.44030650891055,10.04987562112089,10.44030650891055,20.686087189100792,2.6132429228737055,4939.107399999979,3411.785199999984,871.4857000000193,331.7825999999768,201.9430000000284,45.45750000001863,201.9430000000284,705.5867714285685,0
84,29,169.01134890350602,255.23714463220279,102.57680049601859,96.13012014972206,60.63827174318213,50.11985634456667,21.02379604162864,35.19313095874595,89.20872682378459,8365.578600000008,3732.8759999999893,988.375699999975,575.3495000000112,468.80119999998715,434.2045999999973,75.01110000000335,288.46822758620715,0
142,20,158.31578142025836,869.3934667341364,440.5961870012041,375.02133272655306,247.1639132235934,226.71788636982305,21.08509134752986,129.64626290103442,54.047641223547274,4612.716799999995,1184.7704999999842,618.7697000000044,466.51329999999143,352.7823999999673,272.81770000001416,153.21270000000368,230.63583999999975,0
130,29,48.21548399174821,424.3017793976358,330.4375886608544,251.87298386289865,234.241328548145,196.7739820199815,21.93171219946131,68.70376582939683,237.08703350452743,2121.1597000000183,683.2688999999664,205.69100000004983,108.1351999999606,103.85549999994691,83.9028999999864,41.60430000000633,73.14343793103511,0
18,9,171.1639542456198,85.16454661418682,39.01281840626232,25.059928172283335,17.11724276862369,11.661903789690601,11.661903789690601,24.098764534312856,9.77978345518158,3740.251900000032,2811.5916000000434,400.4679999999935,288.02510000002803,84.14459999999963,72.00829999998678,72.00829999998678,415.583544444448,0
99,30,134.46971215254788,175.025712396779,133.60014970051492,131.24404748406687,130.06152390311286,114.0175425099138,22.30164014848529,42.70982368331493,132.45936390906354,4101.542100000021,1680.0581999999704,1124.4855000000098,155.9552000000258,127.00090000004275,95.99949999997625,46.40714999998454,136.7180700000007,0
94,15,46.73570458892839,592.2178653164729,211.5892246783848,130.26895255585654,88.88756943465155,85.47514258543241,31.400636936215164,89.19580308707607,74.25729479087174,1208.968600000022,181.22669999999925,175.54300000000512,148.5173000000068,113.14029999997001,111.96960000001127,72.58580000000075,80.59790666666814,0
103,24,158.19859051364818,384.44375401350976,209.69740103301234,182.91528093628483,114.23659658795863,102.55242561733974,24.202358626358166,63.13362245019345,68.18195536230012,2953.2216999999946,622.554999999993,579.0963000000338,402.00339999998687,252.07709999999497,137.48079999996116,63.61120000001392,123.05090416666644,0
151,41,60.94539590092286,246.84408034222736,220.41097976280582,181.1767093199344,175.28548142958104,172.15400082484288,13.892443989449804,49.925239835399616,66.0962822817793,2944.9133999999613,700.3687999999966,388.0887999999686,255.5636999999988,131.97839999996359,123.86369999998715,27.847400000027847,71.82715609756004,0
