section_count_before,section_count_after,angle_max,section_max1_value,section_max2_value,section_max3_value,section_max4_value,section_max5_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
2,1,0,16.278820596099706,0,0,0,0,16.278820596099706,16.278820596099706,0.24571804673358047,72.006,72.006,72.006,1
28,14,58.13402230639633,101.43470806385751,39.0,25.0,23.430749027719962,22.135943621178654,22.7925532331924,12.082762530298218,37.85872016932786,656.6037,36.963900000000024,46.900264285714286,1
61,16,133.05191499348504,141.8344104933637,123.00406497347964,112.0044641967453,104.00480758118829,61.032778078668514,50.129960704145404,31.262433634993368,60.01147451287132,3050.3306,39.62644999999998,190.6456625,1
61,5,18.990003595991954,439.0410003632918,388.6708118704053,34.0147027033899,13.0,8.06225774829855,176.55775453707713,34.0147027033899,17.32672602154529,1593.1998999999996,139.54710000000068,318.6399799999999,1
69,9,72.25532837494306,592.5040084252595,133.73481222179961,127.62444906835053,77.10382610480494,33.015148038438355,111.29533094600144,33.015148038438355,92.19579706654666,1253.9997999999996,133.91479999999956,139.33331111111107,1
69,8,72.97947438848014,998.4813468462994,405.14935517658176,363.3730865102698,37.0,31.76476034853718,234.88790703640313,34.38238017426859,50.28527945879224,770.9588999999996,92.11509999999907,96.36986249999995,1
34,7,26.241349652157766,315.7863201596928,76.21679604916491,46.75467891024384,23.706539182259394,21.95449840010015,72.17591510873207,23.706539182259394,10.320235314936744,516.9990999999991,57.20930000000044,73.85701428571416,1
38,10,117.68106156848526,195.0640920313116,100.66280345788111,55.00909015790027,52.20153254455275,38.8329756778952,49.57111382168425,26.487555650813075,116.31062236920445,826.8143,60.64710000000014,82.68143,1
61,12,172.05652818940965,496.08164650589526,130.24976007655445,114.79111463872106,56.859475903318,26.419689627245813,75.53492476960746,18.176149152746042,21.933333333333334,878.7713000000003,39.665099999999256,73.2309416666667,1
30,16,84.4871875781659,40.718546143004666,35.510561809129406,34.20526275297414,33.0,33.0,21.272970134747915,16.858176813189253,50.620514314227705,2130.8014000000003,52.50550000000021,133.17508750000002,1
36,11,59.03624346792648,201.9925741209315,74.67261881037788,36.05551275463989,25.0,23.0,38.22041219146716,12.041594578792296,12.698140428381814,789.8646000000008,58.54270000000179,71.8058727272728,1
6,2,17.216073587790724,54.08326913195984,8.246211251235321,0,0,0,31.16474019159758,31.16474019159758,1.8997529098110366,508.3344999999972,254.1672499999986,254.1672499999986,1
27,5,16.568337083100584,184.45866745696716,99.92497185388645,68.15423684555495,15.0,10.04987562112089,75.51755035550589,68.15423684555495,8.18395270652674,392.47969999999987,83.64069999999992,78.49593999999998,1
69,12,177.03906386583625,541.2023651093923,349.05730188609436,174.23260314877925,138.70832707519762,47.80167361086848,114.55668874934067,39.069654610122996,43.32098747665383,1250.7165999999997,57.88414999999986,104.22638333333332,1
