section_count_before,section_count_after,angle_max,section_max_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
27,12,135.0,64.00781202322104,29.63875736693637,21.759372672192107,18.492694651826305,3204.5203,32.08355000000006,267.04335833333334,0
83,16,112.1936938333151,383.4188310451118,83.97601784632145,42.72580133679325,181.28952842351066,1242.5354999999995,42.50540000000001,77.65846874999997,0
15,8,15.989639737312572,45.48626166217664,20.522228133929755,16.411041871911003,13.893022940835225,317.1089000000002,35.502300000000105,39.63861250000002,0
150,40,141.65920726613678,226.00884938426637,48.227789916529886,23.450683095872897,226.1209302046084,5303.9561,42.51140000000032,132.5989025,0
90,17,95.99015246047408,264.15336454416024,71.59200027675587,52.03844732503075,36.4346231028063,2032.4858000000004,37.99229999999989,119.55798823529415,0
18,7,19.44003482817619,53.36665625650534,28.01956673237993,35.014282800023196,13.697222980057225,555.9595000000008,56.009799999999814,79.42278571428584,0
16,6,12.455363391725854,48.41487374764082,30.819641135235816,36.79921262426284,15.495822070085294,1425.4442999999992,43.76770000000033,237.57404999999986,0
50,9,91.54815769897796,291.3863414781139,68.38913883196491,33.1058907144937,20.48999210959304,3439.9297000000006,66.99699999999939,382.2144111111112,0
48,20,177.3974377975002,100.2845950283492,26.935217232512393,20.95220452972487,95.64904751259081,2452.017600000003,41.91964999999982,122.60088000000015,0
115,27,167.28066893786678,198.0,55.220440693142116,24.413111231467404,32.72099560417432,3550.532500000001,48.002699999997276,131.50120370370374,0
72,15,48.65222278030633,284.5856637288674,60.133879143949066,31.04834939252005,46.90136495689883,2977.4524999999994,99.9976999999999,198.49683333333329,0
119,28,119.23198984660944,756.9848083019897,68.34108847084819,21.71270447684202,235.46445396621564,4611.117200000001,75.75304999999935,164.68275714285716,0
68,7,16.910326049510143,338.2499076126999,129.29775081016487,29.017236257093817,43.51290732939508,2028.3358000000007,108.51320000000123,289.76225714285727,0
54,16,60.18845697686793,139.08630414242805,41.87524000006514,23.187855292892515,22.461126179664124,2364.4684999999954,46.05430000000342,147.7792812499997,0
7,5,37.8749836510982,21.95449840010015,14.509174550301726,13.0,1.9576948993568004,9807.645100000002,39.99979999999778,1961.5290200000004,0
7,2,7.931945804004145,71.00704190430693,39.53464982630274,39.53464982630274,1.0,140.14630000000034,70.07315000000017,70.07315000000017,0
53,15,171.73282666448938,276.26798583983634,50.90010887899871,22.47220505424423,9.876258091189445,1015.1782999999996,40.9997000000003,67.67855333333331,0
133,38,116.56505117707799,979.4253417182955,53.653049046239275,10.908326913195985,163.50469782022634,10560.731799999994,56.377049999995506,277.91399473684197,0
43,10,29.74488129694221,203.1058837158589,55.60272414985418,40.2971008567687,31.471197409745038,592.4554999999964,29.99814999999944,59.24554999999964,0
57,24,38.480198248343015,152.7939789389621,32.73728824552702,16.919346470401777,25.011307567322195,1387.0467000000062,20.180399999997462,57.79361250000026,0
5,2,9.782407031807285,29.427877939124322,25.71393896956216,25.71393896956216,1.0879213779497818,1135.046000000002,567.523000000001,567.523000000001,0
85,17,56.309932474020215,449.4374261229254,64.95227404739315,22.80350850198276,181.53209574838442,4044.9726999999984,56.73630000000412,237.9395705882352,0
83,27,38.34791269847426,167.0269439342048,36.395683823935215,22.135943621178654,108.66986416915563,5190.9974000000075,59.67829999999958,192.25916296296325,0
48,16,65.89287719755279,146.98639392814562,42.566261148039665,19.449499117709433,51.47715858708171,3040.6322000000073,35.91124999999738,190.03951250000046,0
118,33,120.88107869694362,395.4566980087706,45.73897908532077,22.02271554554524,164.61418460517797,2551.2342999999964,36.00810000000638,77.31013030303019,0
69,21,42.8524145717015,132.09466302617983,38.20234879162808,13.45362404707371,38.07216235845726,4385.812399999981,103.70980000001146,208.8482095238086,0
2,2,38.65980825409009,7.0,6.701562118716424,6.701562118716424,2.2135943621178655,6835.733800000016,3417.866900000008,3417.866900000008,0
93,19,55.23480276342322,288.3123306416151,63.12660230002404,40.24922359499622,100.33448055459455,2996.1780000000144,36.3238999999885,157.6935789473692,0
107,20,33.6900675259798,611.2348157623222,78.74764142346712,22.469726061580708,71.15303450550307,1669.3666000000085,42.00209999999788,83.46833000000042,0
126,22,65.51331906828398,593.6505706221463,77.09707396502189,12.205455727822638,59.15080831902351,5668.274700000009,82.29145000000426,257.64885000000044,0
75,16,167.52218229178618,164.62381358722072,61.45040748680059,39.42006111353648,56.65517994181376,2383.4162999999826,51.99739999999292,148.9635187499989,0
31,12,29.74488129694221,155.58920271021378,32.24579829112616,17.395545304576267,20.478928396522296,1438.988799999992,64.10714999999618,119.91573333333265,0
12,2,49.376786542173036,133.3604139165742,71.99527986465442,71.99527986465442,3.586847936550303,1712.4671999999846,856.2335999999923,856.2335999999923,0
95,20,54.86580694308437,200.30227157973022,67.97249774342791,37.3042083623046,167.93165992067804,1866.2666000000027,44.379549999997835,93.31333000000014,0
131,28,174.49263797024716,303.9161068452937,64.60052927374669,28.04530407597821,71.26268861325772,1437.4745000000112,34.50035000000207,51.3383750000004,0
14,5,33.6900675259798,72.20110802473879,31.24530329990579,20.518284528683193,4.423322374415067,381.6077000000223,67.99420000001555,76.32154000000446,0
21,6,46.41442321140215,146.24978632463024,49.18530496903228,27.4091704715881,12.187298180611885,440.0200999999943,60.009399999980815,73.33668333333237,0
22,5,24.64677085193115,89.1403387922662,47.84377900501424,59.90826320300064,8.449940073086742,561.7681999999913,132.96940000000177,112.35363999999826,0
14,3,26.56505117707799,112.44998888394787,49.22868562048256,33.0,1.9007270422959692,622.0914000000048,203.13019999998505,207.3638000000016,0
